strana_id,strana_nazev,strana_zkratka
1,Občanská demokratická strana,ODS
2,Řád národa - Vlastenecká unie,ŘN - VU
3,CESTA ODPOVĚDNÉ SPOLEČNOSTI,CESTA
4,Česká strana sociálně demokratická,ČSSD
5,"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET",PB
6,Radostné Česko,RČ
7,STAROSTOVÉ A NEZÁVISLÍ,STAN
8,Komunistická strana Čech a Moravy,KSČM
9,Strana zelených,Zelení
10,"ROZUMNÍ - stop migraci a diktátu EU - peníze našim občanům, důchodcům, dětem, zdravotně postiženým...",Rozumní
11,Společnost proti developerské výstavbě v Prokopském údolí,SPDV
12,Strana svobodných občanů,Svobodní
13,Blok proti islamizaci - Obrana domova,BPI
14,Občanská demokratická aliance,ODA
15,Česká pirátská strana,Piráti
16,OBČANÉ 2011-SPRAVEDLNOST PRO LIDI,OBČANÉ 2011
17,"Unie Hrdosti, Aktivity, Vlastenectví, Empatie a Lidskosti 2017",Unie H.A.V.E.L.
18,Česká národní fronta,ČNF
19,Referendum o Evropské unii,Referendum o EU
20,TOP 09,TOP 09
21,ANO 2011,ANO
22,Dobrá volba 2016,DV 2016
23,Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka,SPRRSČ M.Sládka
24,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL
25,Česká strana národně sociální,ČSNS
26,REALISTÉ,REAL
27,SPORTOVCI,SPORTOVCI
28,Dělnická strana sociální spravedlnosti,DSSS
29,Svoboda a přímá demokracie - Tomio Okamura (SPD),SPD
30,Strana Práv Občanů,SPO
31,Národ Sobě,NáS
