nuts_kod,odevzdane_obalky,okres_nazev,okrsky_pocet,platne_hlasy,platne_hlasy_procenta,ucast_procenta,vydane_obalky,zapsani_voliciu
CZ0100,614958,Praha,1109,611450,99.43,67.13,615519,916940
CZ020C,26639,Rakovník,120,26491,99.44,60.23,26644,44238
CZ020B,58566,Příbram,226,58185,99.35,63.25,58597,92650
CZ020A,71322,Praha-západ,129,70884,99.39,70.41,71365,101359
CZ0209,85956,Praha-východ,178,85497,99.47,69.15,86014,124386
CZ0208,47458,Nymburk,158,47177,99.41,62.05,47485,76522
CZ0207,58866,Mladá Boleslav,222,58562,99.48,62.15,58910,94784
CZ0206,49312,Mělník,146,49063,99.50,59.23,49341,83309
CZ0205,37038,Kutná Hora,162,36827,99.43,61.32,37048,60414
CZ0204,48450,Kolín,167,48207,99.50,61.84,48469,78379
CZ0203,74654,Kladno,211,74259,99.47,58.37,74730,128022
CZ0202,44865,Beroun,127,44601,99.41,63.62,44894,70567
CZ0201,50654,Benešov,217,50386,99.47,64.80,50698,78233
CZ0317,52504,Tábor,207,52210,99.44,63.29,52530,83002
CZ0316,34548,Strakonice,196,34379,99.51,61.20,34559,56470
CZ0315,23889,Prachatice,109,23730,99.33,58.10,23903,41140
CZ0314,35164,Písek,147,34981,99.48,61.32,35180,57370
CZ0313,45637,Jindřichův Hradec,215,45365,99.40,61.10,45660,74725
CZ0312,27751,Český Krumlov,79,27586,99.41,57.75,27760,48069
CZ0311,97593,České Budějovice,306,97068,99.46,63.78,97658,153106
CZ0327,21705,Tachov,85,21565,99.35,52.72,21714,41190
CZ0326,23341,Rokycany,101,23189,99.35,60.74,23366,38469
CZ0325,37978,Plzeň-sever,147,37720,99.32,60.72,37995,62575
CZ0324,29751,Plzeň-jih,177,29576,99.41,59.75,29769,49821
CZ0323,89205,Plzeň-město,208,88649,99.38,61.13,89292,146073
CZ0322,43208,Klatovy,231,42977,99.47,61.76,43229,69995
CZ0321,27996,Domažlice,138,27834,99.42,58.14,28009,48176
CZ0413,35672,Sokolov,93,35392,99.22,48.63,35689,73390
CZ0412,50813,Karlovy Vary,140,50455,99.30,55.50,50841,91598
CZ0411,36549,Cheb,112,36295,99.31,51.33,36577,71262
CZ0427,49640,Ústí nad Labem,138,49359,99.43,52.87,49667,93938
CZ0426,51415,Teplice,131,51109,99.40,51.00,51443,100871
CZ0425,42773,Most,124,42560,99.50,47.56,42786,89964
CZ0424,37973,Louny,167,37739,99.38,54.45,37999,69789
CZ0423,56137,Litoměřice,217,55822,99.44,59.14,56171,94984
CZ0422,48562,Chomutov,118,48315,99.49,49.30,48608,98590
CZ0421,55087,Děčín,151,54782,99.45,52.77,55109,104432
CZ0514,40011,Semily,120,39699,99.22,66.58,40042,60145
CZ0513,81999,Liberec,194,81516,99.41,60.58,82055,135446
CZ0512,43672,Jablonec nad Nisou,120,43345,99.25,60.77,43690,71892
CZ0511,44546,Česká Lípa,149,44257,99.35,53.82,44576,82824
CZ0525,59389,Trutnov,165,58943,99.25,61.49,59418,96638
CZ0524,39851,Rychnov nad Kněžnou,144,39550,99.24,63.09,39864,63181
CZ0523,55335,Náchod,185,54949,99.30,62.23,55362,88969
CZ0522,40348,Jičín,180,40060,99.29,62.49,40377,64612
CZ0521,85748,Hradec Králové,252,85218,99.38,65.69,85801,130616
CZ0534,69932,Ústí nad Orlicí,211,69497,99.38,63.75,69969,109760
CZ0533,51732,Svitavy,188,51441,99.44,61.52,51764,84144
CZ0532,84957,Pardubice,260,84478,99.44,63.50,85008,133877
CZ0531,53092,Chrudim,217,52753,99.36,62.94,53119,84391
CZ0635,61951,Žďár nad Sázavou,266,61585,99.41,64.64,61978,95880
CZ0634,58410,Třebíč,248,58131,99.52,64.08,58428,91173
CZ0632,56750,Jihlava,218,56391,99.37,62.97,56784,90176
CZ0631,49614,Havlíčkův Brod,211,49372,99.51,64.38,49634,77098
CZ0633,37504,Pelhřimov,194,37285,99.42,64.14,37532,58520
CZ0647,54263,Znojmo,200,53948,99.42,59.04,54291,91962
CZ0646,44783,Vyškov,132,44518,99.41,61.34,44800,73033
CZ0645,75904,Hodonín,161,75389,99.32,59.53,76000,127672
CZ0644,56760,Břeclav,115,56358,99.29,59.74,56806,95096
CZ0643,112543,Brno-venkov,250,111932,99.46,65.93,112622,170816
CZ0642,186697,Brno-město,350,185636,99.43,61.10,186909,305888
CZ0641,55988,Blansko,195,55661,99.42,64.44,56030,86953
CZ0711,18073,Jeseník,49,17911,99.10,55.64,18087,32509
CZ0715,59065,Šumperk,190,58716,99.41,59.43,59117,99470
CZ0714,63661,Přerov,208,63279,99.40,59.84,63700,106449
CZ0712,113742,Olomouc,305,112995,99.34,60.38,113825,188520
CZ0713,53064,Prostějov,179,52738,99.39,60.29,53096,88066
CZ0806,142240,Ostrava-město,325,141283,99.33,54.15,142398,262990
CZ0805,86424,Opava,206,85906,99.40,60.11,86499,143910
CZ0804,72768,Nový Jičín,166,72390,99.48,59.40,72809,122584
CZ0803,106759,Karviná,256,106196,99.47,51.38,106816,207891
CZ0802,101983,Frýdek-Místek,212,101439,99.47,59.07,102050,172751
CZ0801,40841,Bruntál,141,40575,99.35,53.01,40874,77107
CZ0723,70742,Vsetín,151,70320,99.40,60.39,70788,117222
CZ0722,73427,Uherské Hradiště,151,73007,99.43,63.02,73475,116598
CZ0721,53188,Kroměříž,166,52781,99.23,60.94,53265,87400
CZ0724,99156,Zlín,217,98571,99.41,63.41,99220,156480
