hlasu_procenta,id_strany,nuts_kod,pocet_hlasu
16.22,1,CZ0100,99182
0.10,2,CZ0100,642
0.06,3,CZ0100,407
5.57,4,CZ0100,34079
0.08,5,CZ0100,491
0.03,6,CZ0100,221
5.05,7,CZ0100,30920
4.60,8,CZ0100,28158
2.40,9,CZ0100,14686
0.42,10,CZ0100,2600
0.07,11,CZ0100,438
2.10,12,CZ0100,12857
0.07,13,CZ0100,472
0.15,14,CZ0100,943
17.59,15,CZ0100,107590
0.02,16,CZ0100,177
0.01,17,CZ0100,93
0.06,19,CZ0100,423
12.64,20,CZ0100,77325
20.35,21,CZ0100,124445
0.05,22,CZ0100,358
0.08,23,CZ0100,539
4.76,24,CZ0100,29143
0.02,25,CZ0100,182
0.95,26,CZ0100,5851
0.20,27,CZ0100,1243
0.09,28,CZ0100,565
5.81,29,CZ0100,35547
0.30,30,CZ0100,1873
9.64,1,CZ020C,2555
0.12,2,CZ020C,33
0.03,3,CZ020C,10
8.85,4,CZ020C,2347
0.08,6,CZ020C,22
6.34,7,CZ020C,1680
10.56,8,CZ020C,2800
1.08,9,CZ020C,288
0.70,10,CZ020C,188
1.41,12,CZ020C,375
0.09,13,CZ020C,25
0.09,14,CZ020C,25
10.38,15,CZ020C,2752
0.04,17,CZ020C,11
0.09,19,CZ020C,24
4.48,20,CZ020C,1187
31.65,21,CZ020C,8386
0.04,22,CZ020C,12
0.16,23,CZ020C,45
1.98,24,CZ020C,527
0.07,25,CZ020C,19
0.61,26,CZ020C,163
0.20,27,CZ020C,55
0.17,28,CZ020C,47
10.71,29,CZ020C,2839
0.28,30,CZ020C,76
11.06,1,CZ020B,6438
0.13,2,CZ020B,80
0.04,3,CZ020B,29
7.38,4,CZ020B,4299
0.07,6,CZ020B,41
7.01,7,CZ020B,4082
8.53,8,CZ020B,4965
1.34,9,CZ020B,785
0.86,10,CZ020B,506
1.47,12,CZ020B,860
0.10,13,CZ020B,62
0.13,14,CZ020B,77
11.77,15,CZ020B,6853
0.04,17,CZ020B,24
0.04,19,CZ020B,25
4.97,20,CZ020B,2896
30.22,21,CZ020B,17588
0.05,22,CZ020B,32
0.14,23,CZ020B,87
4.09,24,CZ020B,2382
0.02,25,CZ020B,14
0.56,26,CZ020B,331
0.17,27,CZ020B,103
0.19,28,CZ020B,113
9.24,29,CZ020B,5381
0.22,30,CZ020B,132
16.99,1,CZ020A,12048
0.12,2,CZ020A,91
0.09,3,CZ020A,65
4.40,4,CZ020A,3120
0.06,6,CZ020A,45
8.35,7,CZ020A,5925
4.34,8,CZ020A,3079
1.89,9,CZ020A,1340
0.60,10,CZ020A,431
1.90,12,CZ020A,1348
0.09,13,CZ020A,70
0.16,14,CZ020A,118
15.81,15,CZ020A,11210
0.05,17,CZ020A,37
0.09,19,CZ020A,69
11.62,20,CZ020A,8243
22.09,21,CZ020A,15662
0.08,22,CZ020A,57
0.09,23,CZ020A,67
3.29,24,CZ020A,2334
0.01,25,CZ020A,14
0.80,26,CZ020A,572
0.12,27,CZ020A,91
0.13,28,CZ020A,93
6.48,29,CZ020A,4594
0.22,30,CZ020A,161
17.88,1,CZ0209,15295
0.31,2,CZ0209,269
0.07,3,CZ0209,62
4.73,4,CZ0209,4049
0.05,6,CZ0209,49
7.86,7,CZ0209,6721
4.55,8,CZ0209,3891
1.46,9,CZ0209,1252
0.67,10,CZ0209,573
1.82,12,CZ0209,1564
0.09,13,CZ0209,85
0.16,14,CZ0209,138
